start,num_opps,teams,website_in_favor,website_against,game
1611648300,2,Melbourne Victory,onexbet,matchbook,"{'commence_time': 1611648300, 'team': ['Melbourne Victory', 'Perth Glory'], 'sport_key': 'soccer_australia_aleague'}"
1611648300,2,Melbourne Victory,gtbets,mybookieag,"{'commence_time': 1611648300, 'team': ['Melbourne Victory', 'Perth Glory'], 'sport_key': 'soccer_australia_aleague'}"
1611648300,2,Melbourne Victory,onexbet,mybookieag,"{'commence_time': 1611648300, 'team': ['Melbourne Victory', 'Perth Glory'], 'sport_key': 'soccer_australia_aleague'}"
1611531000,1,Botafogo,mybookieag,onexbet,"{'commence_time': 1611531000, 'team': ['Botafogo', 'Fluminense'], 'sport_key': 'soccer_brazil_campeonato'}"
1611687600,2,Bristol City,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Bristol City', 'Huddersfield Town'], 'sport_key': 'soccer_efl_champ'}"
1611687600,2,Millwall,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Millwall', 'Watford'], 'sport_key': 'soccer_efl_champ'}"
1611774000,2,Barnsley,onexbet,matchbook,"{'commence_time': 1611774000, 'team': ['Barnsley', 'Cardiff City'], 'sport_key': 'soccer_efl_champ'}"
1611774000,2,Brentford,matchbook,onexbet,"{'commence_time': 1611774000, 'team': ['Brentford', 'Swansea City'], 'sport_key': 'soccer_efl_champ'}"
1611774000,1,Middlesbrough,onexbet,matchbook,"{'commence_time': 1611774000, 'team': ['Middlesbrough', 'Rotherham United'], 'sport_key': 'soccer_efl_champ'}"
1611950400,2,Bournemouth,onexbet,matchbook,"{'commence_time': 1611950400, 'team': ['Bournemouth', 'Reading'], 'sport_key': 'soccer_efl_champ'}"
1611687600,2,Bristol City,gtbets,mybookieag,"{'commence_time': 1611687600, 'team': ['Bristol City', 'Huddersfield Town'], 'sport_key': 'soccer_efl_champ'}"
1611687600,1,Millwall,betonlineag,gtbets,"{'commence_time': 1611687600, 'team': ['Millwall', 'Watford'], 'sport_key': 'soccer_efl_champ'}"
1611774000,2,Barnsley,gtbets,mybookieag,"{'commence_time': 1611774000, 'team': ['Barnsley', 'Cardiff City'], 'sport_key': 'soccer_efl_champ'}"
1611774000,2,Brentford,mybookieag,gtbets,"{'commence_time': 1611774000, 'team': ['Brentford', 'Swansea City'], 'sport_key': 'soccer_efl_champ'}"
1611774000,1,Middlesbrough,gtbets,mybookieag,"{'commence_time': 1611774000, 'team': ['Middlesbrough', 'Rotherham United'], 'sport_key': 'soccer_efl_champ'}"
1611950400,1,Bournemouth,gtbets,lowvig,"{'commence_time': 1611950400, 'team': ['Bournemouth', 'Reading'], 'sport_key': 'soccer_efl_champ'}"
1612009800,1,Middlesbrough,mybookieag,gtbets,"{'commence_time': 1612009800, 'team': ['Middlesbrough', 'Norwich City'], 'sport_key': 'soccer_efl_champ'}"
1612018800,2,Birmingham City,gtbets,mybookieag,"{'commence_time': 1612018800, 'team': ['Birmingham City', 'Coventry City'], 'sport_key': 'soccer_efl_champ'}"
1612018800,1,Blackburn Rovers,gtbets,mybookieag,"{'commence_time': 1612018800, 'team': ['Blackburn Rovers', 'Luton Town'], 'sport_key': 'soccer_efl_champ'}"
1612018800,2,Cardiff City,gtbets,mybookieag,"{'commence_time': 1612018800, 'team': ['Cardiff City', 'Millwall'], 'sport_key': 'soccer_efl_champ'}"
1612018800,1,Bristol City,betonlineag,gtbets,"{'commence_time': 1612018800, 'team': ['Bristol City', 'Derby County'], 'sport_key': 'soccer_efl_champ'}"
1612018800,2,Huddersfield Town,mybookieag,gtbets,"{'commence_time': 1612018800, 'team': ['Huddersfield Town', 'Stoke City'], 'sport_key': 'soccer_efl_champ'}"
1612018800,2,Barnsley,mybookieag,gtbets,"{'commence_time': 1612018800, 'team': ['Barnsley', 'Nottingham Forest'], 'sport_key': 'soccer_efl_champ'}"
1612018800,1,Rotherham United,betonlineag,gtbets,"{'commence_time': 1612018800, 'team': ['Rotherham United', 'Swansea City'], 'sport_key': 'soccer_efl_champ'}"
1612018800,2,Preston North End,gtbets,mybookieag,"{'commence_time': 1612018800, 'team': ['Preston North End', 'Sheffield Wednesday'], 'sport_key': 'soccer_efl_champ'}"
